NAME_1,NAME_2,ndvi_diff
Limburg,Gennep,-11.59502582370648
Noord-Brabant,Boxmeer,-6.206072685976655
Noord-Brabant,Sint Anthonis,-3.6417646032798783
Limburg,Bergen,-5.558174689276072
Limburg,Venray,-6.934469763820793
Noord-Brabant,Gemert-Bakel,-6.448380021078918
Noord-Brabant,Boekel,-5.776005667708833
Noord-Brabant,Helmond,-8.493395629303592
Noord-Brabant,Deurne,-4.655563732072819
Noord-Brabant,Mierlo,-7.307833238671146
Noord-Brabant,Someren,-9.391544646570072
Noord-Brabant,Asten,-8.148031339601983
Noord-Brabant,Cranendonck,-8.6045102944247
Limburg,Nederweert,-9.554982224046084
Limburg,Haelen,-8.533514335996063
Limburg,Roggel en Neer,-11.224114196018679
Limburg,Meijel,-8.654802138613316
Limburg,Helden,-9.85745709572169
Limburg,Sevenum,-9.360786644673935
Limburg,Horst aan de Maas,-7.013873867012086
Limburg,Meerlo-Wanssum,-6.831828166349551
Limburg,Arcen en Velden,-7.693257859362038
Limburg,Venlo,-11.17244235431009
Limburg,Maasbree,-10.509423733975163
Limburg,Kessel,-11.85179579143501
Limburg,Swalmen,-6.409318469862964
Limburg,Beesel,-6.299175615103958
Gelderland,Rijnwaarden,-15.636256032879654
Gelderland,Doetinchem,-14.085447220837558
Gelderland,Bergh,-20.09387855579879
Gelderland,Zelhem,-11.622048378293979
Gelderland,Hummelo en Keppel,-19.825159912407646
Gelderland,Hengelo,-11.755092000779806
Gelderland,Vorden,-13.59046560502385
Gelderland,Lochem,-16.59310294873477
Gelderland,Gorssel,-16.918174222260912
Gelderland,Warnsveld,-13.053213390607489
Gelderland,Steenderen,-19.775571639701145
Gelderland,Zutphen,-16.97644601721984
Gelderland,Brummen,-20.136252617528964
Gelderland,Voorst,-22.81045995268049
Gelderland,Rheden,-13.193123347025866
Gelderland,Doesburg,-18.880576338791595
Gelderland,Angerlo,-23.130702521113246
Gelderland,Duiven,-16.581204222348617
Gelderland,Zevenaar,-14.865557927028096
Gelderland,Didam,-19.43343138210122
Gelderland,Wehl,-18.8134270253263
Gelderland,Westervoort,-17.67704471926419
Gelderland,Arnhem,-12.338689191637398
Gelderland,Rozendaal,-9.31821325998548
Gelderland,Renkum,-11.348636252651733
Gelderland,Apeldoorn,-12.274175893111641
Gelderland,Epe,-14.65277368145871
Overijssel,Deventer,-16.454493239168265
Overijssel,Olst-Wijhe,-17.426601600115593
Gelderland,Heerde,-12.832283936506936
Gelderland,Elburg,-17.238657868363497
Gelderland,Oldebroek,-14.50528208374027
Overijssel,Kampen,-11.895792704160966
Overijssel,Zwolle,-14.341910949480146
Gelderland,Hattem,-11.79738351475506
Overijssel,Raalte,-13.964576828537988
Overijssel,Dalfsen,-11.725274027109117
Overijssel,Ommen,-9.92788342841888
Overijssel,Hellendoorn,-12.92066055444552
Overijssel,Bathmen,-19.432895871710727
Overijssel,Rijssen,-19.747503199345562
Drenthe,Hoogeveen,-12.706700859597492
Drenthe,De Wolden,-13.772816223306506
Overijssel,Staphorst,-10.614079601877567
Drenthe,Meppel,-12.844326106780118
Drenthe,Westerveld,-9.709875633302335
Drenthe,Assen,-11.514234712969353
Groningen,Haren,-27.20792452686564
Groningen,Groningen,-10.571031867289001
Drenthe,Noordenveld,-9.811607330498077
Groningen,Leek,-12.96022246326358
Groningen,Zuidhorn,-13.750676661473797
Groningen,Grootegast,-11.494529970886946
Groningen,Marum,-11.462450207630846
Friesland,Opsterland,-9.680642476317987
Friesland,Ooststellingwerf,-13.088893254625336
Friesland,Weststellingwerf,-10.991444968421114
Friesland,Heerenveen,-10.264983295582631
Friesland,Smallingerland,-10.50203483073729
Friesland,Achtkarspelen,-12.4897272246681
Friesland,Tytsjerksteradiel,-15.652600756547224
Friesland,Dantumadeel,-12.60392366506364
Friesland,Leeuwarden,-13.385181240929889
Friesland,Boarnsterhim,-12.837387037399113
Friesland,Skarsterlân,-14.85871697361314
Friesland,Lemsterland,-20.240794385000875
Overijssel,Steenwijkerland,-5.656370434383765
Flevoland,Noordoostpolder,-8.826361553998856
Overijssel,Zwartewaterland,-10.30924690741519
Flevoland,Urk,-16.758610552767784
Friesland,Gaasterlân-Sleat,-16.821178356197194
Friesland,Nijefurd,-18.008955066972895
Noord-Holland,Venhuizen,-16.07859085675041
Noord-Holland,Enkhuizen,-30.12012587321655
Noord-Holland,Andijk,0.0955259897829719
Noord-Holland,Stede Broec,-10.346448187451758
Noord-Holland,Drechterland,-10.887821440131235
Noord-Holland,Wervershoof,-12.15728410031838
Noord-Holland,Hoorn,-1.6496917087189507
Noord-Holland,Wognum,-14.704657279451487
Noord-Holland,Obdam,-13.819518729323296
Noord-Holland,Opmeer,-15.188420275010362
Noord-Holland,Noorder-Koggenland,-12.390432700499792
Noord-Holland,Niedorp,-11.872108628217326
Noord-Holland,Wieringermeer,-12.253495990691059
Noord-Holland,Medemblik,-11.094621907652826
Noord-Holland,Wieringen,-37.71440819153078
Noord-Holland,Anna Paulowna,-8.64798632126341
Friesland,Wûnseradiel,-16.87719985002658
Friesland,Vlieland,-40.133810226785336
Friesland,Harlingen,-27.988810721437325
Friesland,Franekeradeel,-13.557110248496905
Friesland,Het Bildt,-11.523180542215709
Friesland,Menaldumadeel,-12.3680516861396
Friesland,Littenseradiel,-12.966602905837926
Friesland,Bolsward,-10.946327157396778
Friesland,Wymbritseradiel,-23.155722425734453
Friesland,Sneek,-13.803219307997939
Friesland,Leeuwarderadeel,-14.159993931562823
Friesland,Ferwerderadiel,-16.288051979979315
Friesland,Dongeradeel,-16.242515083891004
Friesland,Ameland,-16.55857875901741
Friesland,Terschelling,-8.272434882720933
Friesland,Schiermonnikoog,-24.538748521143923
Friesland,Kollumerland c.a.,-15.83748065568638
Groningen,De Marne,-13.331288500991027
Groningen,Winsum,-12.711516394237927
Groningen,Bedum,-13.385982471455797
Groningen,Ten Boer,-13.421470926274504
Noord-Holland,Texel,-15.051317967431412
Noord-Holland,Den Helder,93.2177389952357
Noord-Holland,Zijpe,-7.495111656677493
Noord-Holland,Schagen,-11.430557533416719
Noord-Holland,Harenkarspel,-12.23681037094367
Noord-Holland,Langedijk,-12.421621153878311
Noord-Holland,Heerhugowaard,-13.102558271632777
